# t_myr=3000.000000
index,depth_m
0,3500
1,5599.3228
2,5600
3,5999.5435
4,3100
5,2400
6,2600
7,3953.9438
8,3955.5442
9,2599.9426
10,6382.624
11,2599.947
12,2600
13,5600
14,6382.624
15,5600
16,5600
17,5600
18,2600
19,5600
20,6382.624
21,6382.624
22,5600
23,2600
24,5600
25,2600
26,5600
27,6706.797
28,2600
29,2600
30,6382.624
31,2600
32,2600
33,2600
34,2600
35,2600
36,5600
37,2600
38,2600
39,5600
40,2600
41,5600
42,2600
43,2600
44,5600
45,2600
46,3955.5442
47,2100
48,2600
49,2600
50,2600
51,6382.624
52,2600
53,5600
54,2600
55,2600
56,2600
57,5600
58,2600
59,5600
60,2599.9763
61,3382.6238
62,3706.7385
63,2600
64,2599.829
65,3382.6238
66,3706.6262
67,2600
68,2599.829
69,3382.6238
70,3706.7441
71,6955.544
72,2599.947
73,2400
74,2599.947
75,6382.624
76,2600
77,2600
78,5600
79,2600
80,6382.624
81,2600
82,2600
83,6382.624
84,2600
85,5600
86,5600
87,5600
88,5600
89,2400
90,6382.624
91,6382.624
92,6382.624
93,5600
94,5600
95,2600
96,5600
97,5600
98,2600
99,5600
100,2600
101,2600
102,6955.544
103,2600
104,5600
105,2600
106,5600
107,6955.544
108,5600
109,3382.6238
110,3182.6238
111,6706.797
112,5600
113,5600
114,2600
115,6382.624
116,5600
117,5600
118,5600
119,2600
120,5600
121,5600
122,5600
123,2600
124,2600
125,5599.947
126,5800
127,3955.5205
128,6955.544
129,6382.571
130,3382.6238
131,3706.6262
132,6955.544
133,2599.947
134,6000
135,2599.947
136,2600
137,8999.947
138,3755.4912
139,2600
140,5600
141,5600
142,5600
143,2600
144,2400
145,5600
146,5600
147,6382.624
148,2600
149,2600
150,2600
151,2600
152,6382.624
153,5600
154,6382.624
155,3382.6238
156,2600
157,2600
158,5600
159,5600
160,2600
161,2600
162,2600
163,5600
164,2600
165,2100
166,6382.624
167,2600
168,2600
169,2600
170,5600
171,2600
172,2600
173,6382.624
174,3206.797
175,2600
176,2600
177,2600
178,2600
179,6382.624
180,2600
181,2600
182,5600
183,2600
184,5600
185,2600
186,2600
187,5600
188,2600
189,5600
190,3182.5708
191,3506.797
192,3706.6262
193,2600
194,2599.947
195,3706.797
196,3706.7834
197,2600
198,6382.571
199,3382.6238
200,3706.7441
201,3955.4912
202,3382.6238
203,2600
204,2600
205,2600
206,5600
207,5600
208,2600
209,2600
210,2600
211,6382.624
212,2600
213,5600
214,5600
215,5600
216,2600
217,5600
218,2600
219,2600
220,5600
221,2600
222,5600
223,2600
224,5600
225,2600
226,5600
227,5600
228,2100
229,5600
230,2100
231,5600
232,2600
233,2600
234,2600
235,5600
236,5600
237,6382.624
238,3382.6238
239,5600
240,2600
241,6382.624
242,5600
243,2600
244,2600
245,5600
246,5600
247,2600
248,2600
249,6382.624
250,2600
251,2600
252,2599.9763
253,5600
254,2399.947
255,3182.6238
256,3706.6262
257,6955.544
258,2599.947
259,3706.797
260,3706.6262
261,6955.544
262,3382.5708
263,3382.5708
264,2600
265,5600
266,2400
267,5600
268,5600
269,5600
270,5600
271,5600
272,5600
273,5600
274,2600
275,2600
276,2600
277,5600
278,2600
279,5600
280,2600
281,2600
282,2600
283,6382.624
284,2600
285,5600
286,2600
287,5600
288,2600
289,2100
290,2600
291,2600
292,2600
293,2600
294,2600
295,5600
296,2600
297,2100
298,2600
299,3182.6238
300,6382.624
301,6955.544
302,2600
303,2600
304,2600
305,5600
306,5600
307,2600
308,5600
309,5600
310,2600
311,6382.624
312,2600
313,2399.947
314,2600
315,2599.829
316,2400
317,3182.5708
318,3182.6238
319,3706.6262
320,2600
321,5599.947
322,3182.6238
323,6382.571
324,7670.628
325,5600
326,2600
327,5600
328,5600
329,2600
330,6382.624
331,5600
332,2600
333,2600
334,3706.797
335,6706.797
336,2400
337,5600
338,5600
339,2600
340,5600
341,6382.624
342,5600
343,5600
344,5600
345,5600
346,5600
347,2600
348,5600
349,2600
350,5600
351,2600
352,5600
353,2600
354,5600
355,2600
356,5600
357,6706.797
358,2600
359,6382.624
360,5600
361,2600
362,5600
363,2600
364,5600
365,5600
366,5600
367,5600
368,2600
369,2600
370,5600
371,6382.624
372,6382.624
373,5600
374,2600
375,5599.947
376,2599.829
377,2600
378,2600
379,6382.453
380,3506.797
381,3506.6262
382,2600
383,2599.947
384,2599.829
385,5600
386,5600
387,2600
388,2600
389,5600
390,2600
391,5600
392,6955.544
393,3706.797
394,2600
395,6706.797
396,2600
397,6706.797
398,2600
399,2100
400,2600
401,2600
402,2600
403,5600
404,5600
405,6382.624
406,2600
407,2600
408,6382.624
409,5600
410,6382.624
411,2600
412,5600
413,2600
414,5600
415,5600
416,2600
417,6706.797
418,5600
419,2600
420,8730.495
421,6706.797
422,5600
423,2600
424,2600
425,5600
426,2600
427,5600
428,5600
429,2600
430,2600
431,5600
432,2600
433,2600
434,5599.829
435,5600
436,2599.947
437,5600
438,5599.829
439,2600
440,2599.829
441,6382.624
442,2599.9863
443,2600
444,2600
445,5600
446,5600
447,2600
448,5600
449,5600
450,2600
451,3382.6238
452,2600
453,5600
454,7165.2476
455,6382.624
456,5600
457,5600
458,5600
459,2600
460,5600
461,2600
462,5600
463,2600
464,5600
465,2600
466,6382.624
467,5600
468,5600
469,2600
470,5600
471,2100
472,6382.624
473,5600
474,2100
475,6382.624
476,2600
477,2600
478,2400
479,3182.6238
480,6706.797
481,2600
482,2600
483,6382.624
484,5600
485,5600
486,5600
487,2600
488,2600
489,2600
490,2600
491,2600
492,2599.947
493,2599.829
494,5599.829
495,5600
496,2599.947
497,5599.829
498,2599.829
499,5600
500,5599.829
501,5599.829
502,2600
503,5600
504,7165.2476
505,2600
506,5600
507,5600
508,3382.6238
509,3382.6238
510,2600
511,2600
512,6706.797
513,2600
514,6382.624
515,2600
516,5600
517,5600
518,2600
519,5600
520,2600
521,5600
522,2600
523,5600
524,2600
525,2600
526,2600
527,2600
528,5600
529,2600
530,5600
531,2600
532,2600
533,2600
534,5600
535,2600
536,5600
537,5131.089
538,2400
539,2100
540,2600
541,2600
542,5600
543,2600
544,5600
545,2600
546,5600
547,2600
548,5600
549,5600
550,2600
551,5599.829
552,2599.829
553,5600
554,2600
555,2599.829
556,5600
557,2599.829
558,5599.947
559,5600
560,2600
561,5600
562,2600
563,2600
564,7165.2476
565,2600
566,3706.797
567,3706.797
568,2600
569,6955.544
570,2600
571,5600
572,2600
573,5600
574,5600
575,5600
576,5600
577,5600
578,5600
579,5600
580,2600
581,2600
582,5600
583,2600
584,5600
585,6382.624
586,5600
587,6382.624
588,5600
589,2600
590,6382.624
591,2600
592,5600
593,2600
594,2400
595,3506.797
596,2600
597,5600
598,2600
599,6382.624
600,5600
601,5600
602,2600
603,2600
604,5600
605,2600
606,5600
607,5600
608,2600
609,5600
610,2600
611,2599.829
612,2599.829
613,2599.947
614,2400
615,2400
616,5600
617,2600
618,6382.624
619,2600
620,2600
621,3706.797
622,3755.5442
623,2400
624,3965.2476
625,3182.6238
626,5600
627,5600
628,2100
629,5600
630,2600
631,2600
632,2600
633,5600
634,2600
635,5600
636,6382.624
637,2600
638,2600
639,5600
640,2600
641,6382.624
642,2600
643,2600
644,6382.624
645,2100
646,2400
647,2600
648,6382.624
649,6382.624
650,3506.797
651,6955.544
652,2100
653,2600
654,6382.624
655,2600
656,2600
657,5600
658,5600
659,5600
660,5600
661,2600
662,2600
663,2599.947
664,2599.947
665,5599.947
666,5600
667,5600
668,5600
669,6955.4907
670,7517.029
671,2600
672,2600
673,6955.544
674,3382.6238
675,3382.6238
676,3506.797
677,2600
678,6955.544
679,6382.624
680,2600
681,2600
682,5600
683,2600
684,5600
685,2600
686,5600
687,2600
688,5600
689,2600
690,2600
691,2600
692,5600
693,2600
694,6382.624
695,5600
696,5600
697,6382.624
698,6382.624
699,2400
700,5600
701,2100
702,2600
703,5600
704,2600
705,5600
706,3382.6238
707,2100
708,5600
709,3382.6238
710,2600
711,5600
712,5600
713,2600
714,2600
715,2600
716,5600
717,6706.797
718,2599.947
719,5600
720,2599.947
721,5599.829
722,2600
723,5600
724,2600
725,2600
726,2600
727,2600
728,2600
729,2600
730,2600
731,2600
732,2600
733,5600
734,5600
735,5600
736,5600
737,5600
738,2600
739,2100
740,2600
741,5600
742,5600
743,5600
744,2600
745,5600
746,9000
747,2600
748,2600
749,2600
750,5600
751,2600
752,2600
753,2600
754,2600
755,2600
756,5600
757,2100
758,2600
759,6382.624
760,6955.544
761,5600
762,2600
763,2600
764,5600
765,6382.624
766,2600
767,2600
768,5600
769,5600
770,2600
771,5600
772,2600
773,5599.829
774,2599.947
775,5600
776,5600
777,5600
778,5600
779,5600
780,5600
781,2600
782,2600
783,7165.2476
784,2600
785,6955.544
786,2600
787,6706.797
788,5600
789,6382.624
790,5600
791,5600
792,2600
793,5600
794,5600
795,2600
796,5600
797,2600
798,5600
799,2600
800,5600
801,2600
802,5600
803,2600
804,2600
805,6382.624
806,6382.624
807,2600
808,5600
809,2100
810,2600
811,5600
812,2600
813,2600
814,5600
815,5600
816,5600
817,2600
818,5600
819,2600
820,5600
821,2600
822,2600
823,2600
824,2400
825,2600
826,5600
827,2600
828,5600
829,6000
830,6000
831,6000
832,6000
833,6000
834,6000
835,6000
836,6000
837,6000
838,6000
839,6000
840,6000
841,6000
842,6000
843,5600
844,2600
845,5600
846,2600
847,2600
848,2600
849,2100
850,2600
851,5600
852,2600
853,2600
854,5600
855,2600
856,5600
857,5600
858,6382.624
859,5600
860,2600
861,5600
862,5600
863,2100
864,2400
865,3206.797
866,2100
867,2600
868,5600
869,5600
870,5600
871,2600
872,5600
873,2600
874,6955.544
875,2600
876,2600
877,2600
878,5600
879,2600
880,6000
881,6000
882,6000
883,6000
884,6000
885,6000
886,6000
887,6000
888,6000
889,6000
890,6000
891,6000
892,6000
893,6000
894,2600
895,5600
896,5600
897,2100
898,2100
899,2600
900,5600
901,2100
902,5600
903,6382.624
904,5600
905,2100
906,2100
907,6382.624
908,5600
909,2100
910,5600
911,6382.624
912,2600
913,2600
914,6382.624
915,2400
916,2600
917,6382.624
918,5600
919,6382.624
920,6382.624
921,5600
922,2600
923,2600
924,2600
925,5600
926,2600
927,5600
928,6382.624
929,5600
930,6000
931,6000
932,6000
933,6000
934,6000
935,6000
936,6000
937,6000
938,6000
939,6000
940,6000
941,6000
942,6000
943,6000
944,5600
945,2600
946,2600
947,2600
948,2600
949,6382.624
950,2600
951,2600
952,2600
953,2600
954,2600
955,2600
956,5600
957,2600
958,6382.624
959,2600
960,2600
961,2600
962,5600
963,5600
964,6382.624
965,3206.797
966,3382.6238
967,5600
968,2600
969,5600
970,2600
971,2600
972,2600
973,2600
974,5600
975,2600
976,5600
977,5600
978,2600
979,6000
980,6000
981,6000
982,6000
983,6000
984,6000
985,6000
986,6000
987,6000
988,6000
989,6000
990,6000
991,6000
992,6000
993,6706.797
994,5600
995,5600
996,5600
997,2600
998,5600
999,5600
1000,5600
1001,2600
1002,5600
1003,2600
1004,5600
1005,2100
1006,2600
1007,6382.624
1008,5600
1009,5600
1010,2600
1011,6382.624
1012,5600
1013,2100
1014,3506.797
1015,6706.797
1016,2600
1017,5600
1018,5600
1019,2600
1020,6382.624
1021,5600
1022,2600
1023,2600
1024,5600
1025,6382.624
1026,5600
1027,6000
1028,6000
1029,6000
1030,6000
1031,6000
1032,6000
1033,6000
1034,6000
1035,6000
1036,6000
1037,6000
1038,6000
1039,6000
1040,6000
1041,5600
1042,2600
1043,6382.624
1044,2600
1045,2100
1046,2600
1047,2100
1048,5600
1049,5600
1050,2400
1051,2600
1052,2600
1053,5600
1054,2600
1055,5600
1056,2600
1057,5600
1058,6382.624
1059,2100
1060,2600
1061,2400
1062,2882.6238
1063,6382.624
1064,6382.624
1065,2600
1066,2600
1067,2600
1068,2600
1069,2600
1070,5600
1071,5600
1072,2600
1073,2600
1074,6000
1075,6000
1076,6000
1077,6000
1078,6000
1079,6000
1080,6000
1081,6000
1082,6000
1083,6000
1084,6000
1085,6000
1086,6000
1087,6000
1088,2600
1089,6954.8667
1090,2600
1091,2100
1092,2600
1093,5600
1094,2600
1095,2600
1096,6382.624
1097,2100
1098,6382.624
1099,5600
1100,5600
1101,6382.624
1102,2600
1103,5600
1104,5600
1105,2600
1106,2600
1107,6382.624
1108,6706.797
1109,2882.6238
1110,3206.797
1111,5600
1112,5600
1113,2600
1114,2600
1115,2600
1116,5600
1117,6706.797
1118,2600
1119,5600
1120,6000
1121,6000
1122,6000
1123,6000
1124,6000
1125,6000
1126,6000
1127,6000
1128,6000
1129,6000
1130,6000
1131,6000
1132,6000
1133,6000
1134,6000
1135,5599.3228
1136,2600
1137,5600
1138,5600
1139,5600
1140,2600
1141,5600
1142,5600
1143,2600
1144,5600
1145,2600
1146,2600
1147,2600
1148,5600
1149,2600
1150,5600
1151,2600
1152,2600
1153,2600
1154,2100
1155,2400
1156,2600
1157,6955.544
1158,2600
1159,5600
1160,5600
1161,3382.6238
1162,2600
1163,5600
1164,2600
1165,6000
1166,6000
1167,6000
1168,6000
1169,6000
