# t_myr=4000.000000
index,depth_m
549,2600
550,2600
551,2599.829
552,3382.6238
553,3382.453
554,2600
555,2599.829
556,2600
557,2599.829
558,3706.797
559,2600
560,2600
561,2600
562,2600
563,2600
564,2600
565,2600
566,2600
567,2600
568,2600
569,2600
570,2600
571,2600
572,2600
573,2600
574,2600
575,2600
576,2600
577,2600
578,2600
579,2600
580,2600
581,2600
582,2600
583,2600
584,2600
585,3382.6238
586,2600
587,3382.6238
588,2600
589,2600
590,3382.6238
591,2600
592,2600
593,2600
594,2600
595,2600
596,3955.5442
597,3382.6238
598,4350
599,2600
600,2600
601,2600
602,2600
603,2600
604,2600
605,2600
606,2600
607,2599.829
608,2600
609,3382.453
610,2600
611,2599.829
612,2600
613,2599.829
614,3382.6238
615,2600
616,2598.9497
617,2598.9497
618,2600
619,2600
620,2600
621,2600
622,2600
623,2600
624,2600
625,2600
626,2600
627,2600
628,2600
629,2600
630,2600
631,2600
632,2600
633,2600
634,2600
635,2600
636,3382.6238
637,2600
638,2600
639,2600
640,2600
641,3382.6238
642,2600
643,2600
644,3382.6238
645,2600
646,2600
647,2600
648,3382.6238
649,3382.6238
650,3706.797
651,2600
652,2600
653,2600
654,2600
655,2600
656,2600
657,2600
658,2600
659,2600
660,2600
661,2600
662,2600
663,2600
664,3382.453
665,2600
666,2599.829
667,2600
668,2599.829
669,2600
670,2600
671,2600
672,2600
673,2600
674,2600
675,2600
676,2600
677,2600
678,2600
679,2600
680,2600
681,2600
682,2600
683,2600
684,2600
685,2600
686,2600
687,2600
688,2600
689,2600
690,2600
691,2600
692,2600
693,2600
694,3382.6238
695,2600
696,2600
697,3382.6238
698,3382.6238
699,2600
700,2600
701,2600
702,2600
703,2600
704,2600
705,2600
706,2600
707,2600
708,2600
709,2600
710,2600
711,2600
712,2600
713,3382.6238
714,2600
715,2600
716,2600
717,2600
718,2599.829
719,2600
720,3382.453
721,2600
722,2599.829
723,2600
724,2598.9497
725,2600
726,2600
727,2600
728,2600
729,3382.6238
730,2600
731,2600
732,2600
733,2600
734,2600
735,2600
736,2600
737,2600
738,2600
739,2600
740,2600
741,2600
742,2600
743,2600
744,2600
745,2600
746,6000
747,2600
748,2600
749,2600
750,2600
751,2600
752,2600
753,2600
754,2600
755,2600
756,2600
757,2600
758,2600
759,2600
760,2600
761,2600
762,2600
763,2600
764,2600
765,2600
766,2600
767,2600
768,2600
769,2600
770,2600
771,2600
772,2599.829
773,2599.829
774,3706.6262
775,2600
776,2600
777,2600
778,2600
779,2600
780,3382.6238
781,3706.797
782,2600
783,4350
784,2600
785,3382.6238
786,3382.6238
787,4350
788,4165.2476
789,4350
790,4165.2476
791,2600
792,2600
793,2600
794,2600
795,2600
796,2600
797,2600
798,2600
799,2600
800,2600
801,2600
802,2600
803,2600
804,2600
805,3382.6238
806,3382.6238
807,2600
808,2600
809,2600
810,2600
811,2600
812,2600
813,2600
814,2600
815,2600
816,2600
817,2600
818,2600
819,2600
820,3382.6238
821,2600
822,2600
823,2600
824,3382.6238
825,2599.829
826,2600
827,3382.6238
828,2599.829
829,6000
830,6000
831,6000
832,6000
833,6000
834,6000
835,6000
836,6000
837,6000
838,6000
839,6000
840,6000
841,6000
842,6000
843,2600
844,2600
845,2600
846,2600
847,2600
848,2600
849,2600
850,2600
851,2600
852,2600
853,2600
854,2600
855,2600
856,2600
857,2600
858,3382.6238
859,2600
860,2600
861,2600
862,2600
863,2600
864,2600
865,3706.797
866,2600
867,2600
868,2600
869,2600
870,2600
871,2600
872,2600
873,2600
874,5195.6694
875,2600
876,2600
877,2600
878,2599.829
879,3706.797
880,6000
881,6000
882,6000
883,6000
884,6000
885,6000
886,6000
887,6000
888,6000
889,6000
890,6000
891,6000
892,6000
893,6000
894,2600
895,2600
896,2600
897,2600
898,2600
899,2600
900,2600
901,2600
902,2600
903,3382.6238
904,2600
905,2600
906,2600
907,3382.6238
908,2600
909,2600
910,2600
911,3382.6238
912,2600
913,2600
914,3382.6238
915,2600
916,2600
917,3382.6238
918,2600
919,2600
920,3382.6238
921,3706.797
922,2600
923,2600
924,2600
925,3382.6238
926,2600
927,2600
928,2600
929,2600
930,6000
931,6000
932,6000
933,6000
934,6000
935,6000
936,6000
937,6000
938,6000
939,6000
940,6000
941,6000
942,6000
943,6000
944,2600
945,2600
946,2600
947,2600
948,2600
949,3382.6238
950,2600
951,2600
952,2600
953,2600
954,2600
955,2600
956,2600
957,2600
958,3382.6238
959,2600
960,2600
961,2600
962,2600
963,2600
964,3382.6238
965,3706.797
966,3382.6238
