# t_myr=1000.000000
index,depth_m
0,6000
1,1455.5442
2,2600
3,3382.6235
4,3381.771
5,3706.797
6,2600
7,4517.029
8,3955.5442
9,2598.9497
10,2600
11,2599.947
12,3382.6152
13,3706.797
14,2600
15,3382.6238
16,2599.9915
17,3382.6216
18,2599.9978
19,2598.1667
20,2598.1667
21,3380.7905
22,2598.1667
23,2600
24,2600
25,2600
26,2600
27,2600
28,3382.6238
29,2600
30,3382.6238
31,2600
32,2600
33,2600
34,2600
35,2600
36,2600
37,2600
38,3382.6238
39,2600
40,2600
41,3955.5442
42,2600
43,3706.797
44,2600
45,2600
46,3955.5442
47,2600
48,2600
49,2600
50,2600
51,3382.6238
52,2600
53,2600
54,2600
55,2600
56,2600
57,2600
58,2600
59,2600
60,2599.9763
61,3382.6238
62,3706.7385
63,2600
64,2599.829
65,3382.6238
66,3706.6262
67,2600
68,2599.829
69,3382.6238
70,3706.7441
71,3955.5442
72,2599.947
73,2600
74,2599.947
75,5631.089
76,3955.5356
77,3955.5442
78,3382.6238
79,3955.5356
80,3955.5442
81,4947.869
82,3706.7886
83,2599.9978
84,2598.1667
85,2598.1667
86,2600
87,2598.1667
88,2600
89,2600
90,2600
91,2600
92,2600
93,2600
94,2600
95,2600
96,2600
97,2600
98,2600
99,2600
100,2600
101,2600
102,3706.797
103,2600
104,2600
105,2600
106,2600
107,3706.797
108,2600
109,3706.797
110,2600
111,3706.797
112,2600
113,2600
114,2600
115,3382.6238
116,3706.797
117,2600
118,2600
119,2600
120,2600
121,2600
122,2600
123,3382.6238
124,2600
125,2599.947
126,6000
127,3955.5205
128,3955.5442
129,3382.5708
130,3382.6238
131,3706.6262
132,3955.5442
133,2599.947
134,6000
135,2599.947
136,2600
137,5999.947
138,3955.4912
139,3955.5442
140,3955.5356
141,5074.8735
142,3955.542
143,3955.5442
144,2599.9915
145,2599.9978
146,2599.9915
147,2599.9978
148,2598.1667
149,3954.494
150,2598.1667
151,2599.9978
152,2600
153,2600
154,2600
155,2600
156,2600
157,2600
158,2600
159,2600
160,2600
161,2600
162,2600
163,2600
164,2600
165,2600
166,3382.6238
167,2600
168,2600
169,3382.6238
170,2600
171,2600
172,2600
173,2600
174,2600
175,2600
176,2600
177,2600
178,2600
179,3706.797
180,2600
181,2600
182,2600
183,2600
184,2600
185,2600
186,3706.797
187,2600
188,2600
189,2600
190,3382.5708
191,3706.797
192,3706.6262
193,2600
194,2599.947
195,3706.797
196,3706.7834
197,2600
198,3382.5708
199,3382.6238
200,3706.7441
201,3955.4912
202,5631.089
203,4165.239
204,4165.2476
205,4165.2476
206,4165.239
207,2600
208,3955.5442
209,3706.797
210,2599.9978
211,3382.6216
212,3381.5735
213,2598.9497
214,2599.9978
215,2599.9978
216,2598.9497
217,2598.9497
218,2600
219,2600
220,2600
221,2600
222,2600
223,2600
224,2600
225,2600
226,2600
227,2600
228,2600
229,2600
230,2600
231,2600
232,2600
233,2600
234,2600
235,2600
236,2600
237,2600
238,2600
239,2600
240,2600
241,2600
242,2600
243,3382.6238
244,2600
245,2600
246,2600
247,2600
248,3382.6238
249,3382.6238
250,2600
251,3706.797
252,2599.9763
253,2600
254,2599.947
255,3382.6238
256,3706.6262
257,3955.5442
258,2599.947
259,3706.797
260,3706.6262
261,3955.5442
262,3382.5708
263,3382.5708
264,4165.2476
265,4165.239
266,4165.2476
267,4165.2476
268,4165.2476
269,3955.542
270,3706.795
271,3706.795
272,3705.7468
273,3382.6216
274,2598.9497
275,2599.9978
276,2599.9978
277,100
278,100
279,2598.9497
280,2600
281,2600
282,2600
283,3382.6238
284,2600
285,2600
286,2600
287,2600
288,2600
289,2600
290,2600
291,2600
292,2600
293,2600
294,3382.6238
295,2600
296,2600
297,2600
298,2600
299,2600
300,2600
301,2600
302,3955.5442
303,3382.6238
304,3382.6238
305,2600
306,2600
307,2600
308,3706.797
309,2600
310,2600
311,3382.6238
312,3706.797
313,3955.4912
314,3955.5442
315,2599.829
316,2600
317,3382.5708
318,3382.6238
319,3706.6262
320,2600
321,2599.947
322,3382.6238
323,4349.947
324,6000
325,5311.0884
326,4349.991
327,4350
328,4165.2476
329,4350
330,4165.2476
331,4349.9976
332,3706.795
333,3382.6216
334,3381.5735
335,2599.9978
336,100
337,2599.9978
338,2599.9978
339,2598.1667
340,2598.1667
341,2599.9978
342,2600
343,2600
344,2600
345,2600
346,2600
347,2600
348,2600
349,2600
350,2600
351,2600
352,3382.6238
353,3382.6238
354,3382.6238
355,2600
356,3706.797
357,2600
358,2600
359,2600
360,2600
361,2600
362,2600
363,2600
364,2600
365,2600
366,2600
367,2600
368,2600
369,2600
370,2600
371,3382.6238
372,3382.6238
373,3382.6238
374,3382.6238
375,2599.947
376,2600
377,4349.829
378,2600
379,2599.947
380,3382.6238
381,3706.6262
382,2600
383,2600
384,3382.6238
385,4517.029
386,4349.991
387,4348.9497
388,4165.2476
389,4349.991
390,4165.245
391,3955.542
392,3955.542
393,3382.6216
394,3706.795
395,3955.542
396,2599.9978
397,2598.1667
398,2598.1667
399,100
400,2599.9978
401,2598.1667
402,2600
403,2600
404,2600
405,3382.6238
406,2600
407,2600
408,3382.6238
409,2600
410,3382.6238
411,2600
412,3382.6238
413,3382.6238
414,2600
415,2600
416,2600
417,2600
418,2600
419,2600
420,2600
421,2600
422,2600
423,3706.797
424,3706.797
425,2600
426,2600
427,2600
428,2600
429,3382.6238
430,2600
431,2600
432,3382.6238
433,3382.6238
434,3706.6262
435,3955.5442
436,2599.947
437,2600
438,3955.3733
439,2600
440,2599.829
441,3382.6238
442,2599.9863
443,2600
444,5528.31
445,4517.02
446,4517.029
447,4165.2476
448,5311.0796
449,4349.9976
450,3955.542
451,3706.795
452,3706.795
453,882.6238
454,3382.6216
455,2599.9978
456,2599.9978
457,2598.1667
458,2598.1667
459,882.6238
460,2600
461,2600
462,2600
463,2600
464,2600
465,2600
466,3382.6238
467,2600
468,2600
469,2600
470,2600
471,2600
472,3382.6238
473,2600
474,2600
475,3382.6238
476,2600
477,2600
478,2600
479,2600
480,3706.797
481,3706.797
482,2600
483,2600
484,2600
485,2600
486,3382.6238
487,2600
488,2600
489,2600
490,2600
491,2600
492,2599.947
493,2600
494,3382.453
495,2600
496,3706.7441
497,3706.797
498,3955.3733
499,2600
500,2599.829
501,2600
502,4517.029
503,4350
504,4517.02
505,4517.02
506,4349.9976
507,4349.9976
508,4165.245
509,3706.795
510,3706.795
511,3382.6216
512,882.6238
513,2598.1667
514,100
515,2598.1667
516,2598.1667
517,2600
518,2600
519,2600
520,2600
521,2600
522,2600
523,2600
524,2600
525,2600
526,2600
527,2600
528,2600
529,2600
530,2600
531,2600
532,2600
533,2600
534,2600
535,2600
536,2600
537,2600
538,2600
539,2600
540,3382.6238
541,2600
542,2600
543,2600
544,2600
545,2600
546,3382.6238
547,2600
548,2600
549,2600
550,2600
551,3382.453
552,4350
553,3382.6238
554,2600
555,3382.453
556,2600
557,2599.829
558,2600
559,5311.0884
560,4349.991
561,4517.02
562,4670.6255
563,4349.9976
564,4670.6255
565,4165.245
566,3706.795
567,3382.6216
568,882.6238
569,3382.6216
570,100
571,100
572,100
573,2600
574,2600
575,2600
576,2600
577,2600
578,2600
579,2600
580,2600
581,2600
582,2600
583,2600
584,2600
585,2600
586,2600
587,3382.6238
588,3382.6238
589,2600
590,3382.6238
591,2600
592,2600
593,2600
594,2600
595,2600
596,2600
597,2600
598,2600
599,2600
600,2600
601,3382.6238
602,2600
603,2600
604,2600
605,2600
606,2600
607,2599.829
608,2600
609,3382.453
610,2600
611,2599.829
612,3382.6238
613,2599.829
614,2599.829
615,4947.8716
616,4670.619
617,4670.6255
618,4517.0264
619,4669.5776
620,4517.0264
621,4812.544
622,3706.795
623,3381.5735
624,3382.6216
625,3381.5735
626,3382.6216
627,100
628,100
629,100
630,2600
631,2600
