bin_center_m,count_cells,area_m2,cumulative_area_m2
-157695.625000,0,19977759473664 ,19977759473664
-157286.875000,0,436245679947776 ,456223439421440
-156878.125000,0,830564319232 ,457054003740672
-156469.375000,0,0 ,457054003740672
-156060.625000,0,0 ,457054003740672
-155651.875000,0,0 ,457054003740672
-155243.125000,0,0 ,457054003740672
-154834.375000,0,0 ,457054003740672
-154425.625000,0,14142085431296 ,471196089171968
-154016.875000,0,0 ,471196089171968
-153608.125000,0,0 ,471196089171968
-153199.375000,0,0 ,471196089171968
-152790.625000,0,0 ,471196089171968
-152381.875000,0,0 ,471196089171968
-151973.125000,0,0 ,471196089171968
-151564.375000,0,0 ,471196089171968
-151155.625000,0,0 ,471196089171968
-150746.875000,0,0 ,471196089171968
-150338.125000,0,0 ,471196089171968
-149929.375000,0,0 ,471196089171968
-149520.625000,0,0 ,471196089171968
-149111.875000,0,0 ,471196089171968
-148703.125000,0,0 ,471196089171968
-148294.375000,0,0 ,471196089171968
-147885.625000,0,0 ,471196089171968
-147476.875000,0,0 ,471196089171968
-147068.125000,0,0 ,471196089171968
-146659.375000,0,0 ,471196089171968
-146250.625000,0,0 ,471196089171968
-145841.875000,0,0 ,471196089171968
-145433.125000,0,0 ,471196089171968
-145024.375000,0,0 ,471196089171968
-144615.625000,0,0 ,471196089171968
-144206.875000,0,0 ,471196089171968
-143798.125000,0,0 ,471196089171968
-143389.375000,0,0 ,471196089171968
-142980.625000,0,0 ,471196089171968
-142571.875000,0,0 ,471196089171968
-142163.125000,0,0 ,471196089171968
-141754.375000,0,0 ,471196089171968
-141345.625000,0,0 ,471196089171968
-140936.875000,0,0 ,471196089171968
-140528.125000,0,0 ,471196089171968
-140119.375000,0,0 ,471196089171968
-139710.625000,0,0 ,471196089171968
-139301.875000,0,0 ,471196089171968
-138893.125000,0,0 ,471196089171968
-138484.375000,0,0 ,471196089171968
-138075.625000,0,0 ,471196089171968
-137666.875000,0,0 ,471196089171968
-137258.125000,0,0 ,471196089171968
-136849.375000,0,0 ,471196089171968
-136440.625000,0,0 ,471196089171968
-136031.875000,0,0 ,471196089171968
-135623.125000,0,0 ,471196089171968
-135214.375000,0,0 ,471196089171968
-134805.625000,0,0 ,471196089171968
-134396.875000,0,0 ,471196089171968
-133988.125000,0,0 ,471196089171968
-133579.375000,0,0 ,471196089171968
-133170.625000,0,0 ,471196089171968
-132761.875000,0,0 ,471196089171968
